"International Visitors--
   1) Country of Residence
   2) 1+ nights in the USA
   3)  Among qualified visa types";"World 
Region";;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
WESTERN EUROPE;;; - - -;-18,5 %;-9,5 %;0,6 %;12,2 %;6,2 %;-2,1 %;12,6 %;12,0 %;-10,0 %;3,6 %;7,6 %;-2,6 %;6,2 %;4,9 %;11,5 %;-6,7 %;0,4 %;3,3 %;1,6 %;-84,8 %;-23,5 %;509,2 %;18,3 %;6,9 %
MIDDLE EAST;;; - - -;-8,3 %;-25,1 %;-7,3 %;12,3 %;5,0 %;4,8 %;12,1 %;9,9 %;-2,2 %;10,5 %;15,9 %;11,9 %;16,5 %;13,0 %;9,1 %;-1,9 %;-12,0 %;1,3 %;1,5 %;-78,5 %;95,8 %;67,9 %;20,2 %;6,4 %
OCEANIA;;; - - -;-19,8 %;-9,8 %;-0,8 %;25,8 %;11,7 %;2,6 %;10,2 %;2,1 %;2,4 %;25,6 %;15,5 %;5,7 %;17,7 %;1,3 %;11,0 %;-6,0 %;-1,8 %;3,3 %;-2,7 %;-84,4 %;-73,7 %;1084,7 %;54,4 %;6,3 %
SOUTH AMERICA;;; - - -;-14,0 %;-28,3 %;-16,1 %;8,1 %;10,6 %;5,9 %;18,0 %;12,4 %;7,3 %;18,6 %;17,0 %;15,2 %;21,7 %;3,8 %;3,0 %;-5,1 %;2,8 %;8,5 %;-4,9 %;-75,0 %;110,7 %;39,6 %;14,7 %;11,7 %
;;; - - -;;;;;;;;;;;;;;;;;;;;;;;;
Overseas (air only);;; - - -;-16,0 %;-12,3 %;-5,8 %;12,5 %;5,8 %;-1,5 %;9,8 %;6,2 %;-6,6 %;9,7 %;8,0 %;5,2 %;12,4 %;5,7 %;11,6 %;-1,3 %;2,3 %;2,5 %;0,2 %;-81,1 %;23,2 %;148,1 %;28,7 %;10,8 %
Canada (air only);;; - - -;-13,4 %;-10,2 %;-0,2 %;9,8 %;11,7 %;7,8 %;6,6 %;7,9 %;-3,9 %;13,3 %;8,1 %;2,9 %;4,8 %;2,3 %;-3,3 %;-2,0 %;12,8 %;8,9 %;-6,0 %;-71,4 %;-42,9 %;387,7 %;47,3 %;-8,7 %
Mexico (air only);;; - - -;-12,9 %;-5,0 %;-5,4 %;9,9 %;11,7 %;2,7 %;9,6 %;-9,1 %;-11,5 %;10,8 %;18,5 %;7,2 %;14,8 %;2,8 %;6,4 %;-3,4 %;-2,7 %;9,6 %;1,4 %;-61,1 %;203,8 %;-23,1 %;18,6 %;14,8 %
;;; - - -;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;Asia;; - - -;-3,1 %;8,0 %;68,1 %;33,9 %;120,7 %;1,0 %;5,8 %;-23,6 %;107,7 %;10,8 %;42,7 %;-21,7 %;29,7 %;49,5 %;8,2 %;5,3 %;-35,0 %;11,0 %;41,1 %;-70,7 %;-3,2 %;251,8 %;43,1 %;14,9 %
Albania;Eastern Europe;; - - -;-22,4 %;-1,1 %;-6,9 %;1,4 %;43,9 %;-19,0 %;6,8 %;22,0 %;-17,2 %;4,8 %;-4,8 %;-0,0 %;16,1 %;8,7 %;47,0 %;27,3 %;27,9 %;12,9 %;5,2 %;-67,9 %;51,1 %;76,7 %;57,1 %;20,3 %
Algeria;Africa;; - - -;-0,8 %;-39,2 %;-18,0 %;10,5 %;33,7 %;20,1 %;13,4 %;30,2 %;7,4 %;-10,4 %;27,9 %;3,4 %;35,2 %;42,2 %;2,6 %;10,3 %;5,0 %;2,0 %;6,6 %;-86,3 %;-43,8 %;625,6 %;149,7 %;19,3 %
Andorra;Western Europe;; - - -;-22,8 %;-18,6 %;3,0 %;8,3 %;36,3 %;-4,0 %;20,1 %;31,6 %;-19,1 %;0,3 %;-11,7 %;-6,4 %;0,1 %;21,0 %;-4,3 %;14,2 %;-5,1 %;30,5 %;12,7 %;-84,6 %;-8,2 %;569,6 %;28,9 %;-1,7 %
Angola;Africa;; - - -;1,9 %;-9,2 %;-4,5 %;10,0 %;19,3 %;21,0 %;15,7 %;10,2 %;14,4 %;2,5 %;24,3 %;26,0 %;19,4 %;10,4 %;-12,8 %;-25,6 %;-2,1 %;-9,8 %;-15,2 %;-82,0 %;24,8 %;145,8 %;35,2 %;13,0 %
Anguilla;Caribbean;; - - -;-20,4 %;-26,0 %;13,1 %;18,9 %;24,0 %;11,1 %;18,7 %;-6,4 %;-20,1 %;-33,0 %;-24,6 %;-18,3 %;-28,2 %;-29,5 %;-15,2 %;12,0 %;-18,0 %;52,2 %;59,7 %;-81,6 %;80,1 %;162,5 %;23,5 %;6,3 %
Antigua and Barbuda;Caribbean;; - - -;-18,9 %;-19,3 %;1,0 %;12,8 %;7,4 %;4,9 %;-1,6 %;-4,4 %;-12,7 %;-2,9 %;-5,5 %;-7,0 %;2,6 %;-5,0 %;8,8 %;5,3 %;-9,4 %;10,4 %;10,9 %;-79,7 %;125,8 %;72,1 %;25,3 %;14,8 %
Argentina;South America;; - - -;-18,7 %;-62,1 %;-8,5 %;11,3 %;12,6 %;12,3 %;25,9 %;19,2 %;12,0 %;22,4 %;18,8 %;17,5 %;16,8 %;-2,6 %;15,3 %;16,0 %;9,9 %;-2,4 %;-14,0 %;-76,9 %;52,6 %;73,9 %;13,6 %;15,3 %
Armenia;Eastern Europe;; - - -;-23,4 %;-32,9 %;-27,2 %;12,9 %;-0,8 %;1,0 %;-10,8 %;13,5 %;-4,5 %;-10,2 %;-1,0 %;41,8 %;23,0 %;10,1 %;11,4 %;46,4 %;18,1 %;6,8 %;19,6 %;-60,6 %;65,2 %;22,9 %;49,9 %;18,0 %
Aruba;Caribbean;; - - -;;;;;;;;;;-28,1 %;-8,0 %;17,3 %;3,2 %;-0,5 %;-6,6 %;-41,6 %;3,9 %;119,2 %;17,2 %;-71,2 %;147,4 %;17,3 %;-5,6 %;-8,5 %
Australia;Oceania;; - - -;-21,1 %;-4,4 %;-0,4 %;28,2 %;11,9 %;3,7 %;11,0 %;3,0 %;4,9 %;25,0 %;16,4 %;7,5 %;15,6 %;0,1 %;11,0 %;-7,1 %;-2,0 %;2,9 %;-3,2 %;-84,2 %;-74,9 %;1123,8 %;48,7 %;7,4 %
Austria;Western Europe;; - - -;-29,8 %;-20,6 %;2,0 %;13,0 %;4,2 %;-0,4 %;12,1 %;20,9 %;2,4 %;3,6 %;8,7 %;1,5 %;5,3 %;3,8 %;9,0 %;-9,9 %;-0,3 %;1,5 %;0,3 %;-84,7 %;-6,9 %;412,9 %;22,1 %;8,5 %
Azerbaijan;Eastern Europe;; - - -;-19,9 %;-15,4 %;14,1 %;3,6 %;1,5 %;39,1 %;19,4 %;22,8 %;-3,6 %;12,7 %;12,9 %;21,3 %;13,0 %;22,5 %;-4,2 %;11,0 %;2,5 %;-1,2 %;8,3 %;-78,9 %;31,5 %;129,2 %;54,4 %;29,2 %
Bahamas, the;Caribbean;; - - -;-0,3 %;-10,4 %;-3,5 %;4,9 %;-10,7 %;2,6 %;5,4 %;-29,4 %;24,3 %;8,2 %;-6,3 %;-5,3 %;6,3 %;-3,4 %;6,5 %;11,1 %;4,7 %;0,1 %;9,8 %;-77,7 %;140,5 %;38,7 %;30,5 %;8,2 %
Bahrain;Middle East;; - - -;-7,1 %;-39,2 %;-1,5 %;10,8 %;24,8 %;8,8 %;17,6 %;13,5 %;-12,7 %;17,8 %;-3,9 %;14,7 %;0,7 %;8,4 %;11,2 %;1,7 %;-10,8 %;5,6 %;-6,0 %;-81,8 %;147,3 %;46,7 %;19,9 %;6,8 %
Bangladesh;Asia;; - - -;-4,0 %;-21,6 %;-12,0 %;-0,6 %;14,9 %;-14,0 %;-1,1 %;6,6 %;16,4 %;13,6 %;16,0 %;22,6 %;57,4 %;31,9 %;-0,8 %;-0,2 %;-7,4 %;13,9 %;2,7 %;-75,7 %;156,1 %;88,1 %;36,3 %;11,5 %
Barbados;Caribbean;; - - -;-18,5 %;-9,8 %;-0,9 %;18,4 %;4,1 %;5,6 %;3,4 %;-1,8 %;-5,2 %;4,8 %;-5,1 %;-3,5 %;8,9 %;-4,5 %;4,8 %;10,9 %;-3,0 %;3,5 %;5,3 %;-85,7 %;80,1 %;124,0 %;31,3 %;22,1 %
Belarus;Eastern Europe;; - - -;-2,4 %;2,6 %;13,1 %;-5,6 %;10,0 %;14,5 %;3,5 %;-6,9 %;0,0 %;16,1 %;18,0 %;16,9 %;13,1 %;11,4 %;21,7 %;22,5 %;4,6 %;11,2 %;2,7 %;-76,7 %;-67,4 %;193,3 %;103,3 %;3,8 %
Belgium;Western Europe;; - - -;-27,3 %;-12,5 %;-5,0 %;16,5 %;8,9 %;-1,7 %;15,0 %;22,5 %;-7,4 %;3,7 %;3,4 %;-0,4 %;5,6 %;4,7 %;9,6 %;-13,1 %;0,5 %;5,8 %;-0,6 %;-84,6 %;-26,4 %;550,3 %;23,2 %;7,2 %
Belize;Central America;; - - -;-5,5 %;-22,2 %;-1,1 %;-2,9 %;-4,2 %;7,0 %;1,0 %;-6,4 %;-2,6 %;-7,8 %;-6,0 %;3,0 %;16,0 %;2,4 %;17,2 %;3,7 %;-0,4 %;2,7 %;7,7 %;-78,4 %;175,9 %;62,0 %;25,3 %;16,1 %
Benin;Africa;; - - -;-9,6 %;-0,1 %;4,3 %;13,9 %;31,4 %;20,6 %;10,2 %;23,5 %;-7,8 %;18,6 %;5,1 %;0,1 %;-1,6 %;17,1 %;5,9 %;-1,9 %;-6,7 %;-2,4 %;-0,0 %;-76,4 %;13,6 %;163,2 %;46,7 %;35,1 %
Bermuda;Caribbean;; - - -;-4,9 %;-12,4 %;114,9 %;19,5 %;0,8 %;-17,9 %;76,2 %;0,6 %;-11,5 %;-16,2 %;-37,3 %;32,3 %;291,9 %;30,2 %;-0,7 %;-0,8 %;-2,4 %;14,0 %;4,3 %;-77,3 %;65,5 %;69,7 %;29,0 %;-7,7 %
Bhutan;Asia;; - - -;53,3 %;-33,0 %;22,1 %;-0,5 %;0,5 %;-2,7 %;68,9 %;19,1 %;-37,5 %;-8,7 %;11,0 %;0,4 %;82,1 %;63,8 %;10,7 %;-7,8 %;2,7 %;9,7 %;8,8 %;-81,9 %;-10,8 %;264,5 %;92,0 %;18,3 %
Bolivia;South America;; - - -;-28,9 %;-28,4 %;-10,8 %;2,4 %;-4,6 %;4,6 %;21,2 %;8,4 %;6,8 %;1,7 %;9,2 %;1,9 %;25,5 %;11,3 %;23,0 %;11,6 %;-2,9 %;5,0 %;3,0 %;-67,2 %;141,6 %;9,4 %;15,1 %;3,6 %
Bonaire, St. Eustatius, Saba;Caribbean;; - - -;;;;;;;;;;;;;;3155,6 %;13,7 %;-12,3 %;13,7 %;158,7 %;;;;;;
Bosnia and Herzegovina;Western Europe;; - - -;-12,4 %;-14,4 %;2,1 %;12,1 %;0,9 %;1,1 %;3,9 %;-11,5 %;-10,8 %;8,6 %;12,9 %;0,7 %;7,6 %;19,4 %;8,8 %;7,9 %;7,9 %;8,0 %;-0,0 %;-74,0 %;11,2 %;140,1 %;37,0 %;13,2 %
Botswana;Africa;; - - -;4,1 %;-15,0 %;-11,5 %;21,4 %;-0,2 %;-10,2 %;15,6 %;9,2 %;-10,6 %;-0,9 %;-2,8 %;-1,5 %;-15,9 %;6,6 %;19,3 %;-4,8 %;0,4 %;5,2 %;9,3 %;-83,0 %;10,6 %;285,0 %;29,6 %;8,5 %
Brazil;South America;; - - -;-25,2 %;-26,5 %;-13,9 %;10,3 %;26,2 %;8,2 %;21,7 %;20,3 %;16,0 %;34,2 %;26,8 %;16,7 %;18,9 %;7,9 %;-2,0 %;-22,6 %;10,8 %;15,5 %;-4,7 %;-79,9 %;-43,5 %;411,8 %;32,6 %;17,6 %
British Virgin Islands;Caribbean;; - - -;-20,1 %;-38,9 %;1,7 %;14,6 %;15,3 %;4,0 %;10,2 %;-0,6 %;8,0 %;-15,4 %;-25,0 %;-2,8 %;60,5 %;22,2 %;3,6 %;-10,6 %;-20,0 %;15,3 %;24,5 %;-71,9 %;-19,2 %;147,4 %;24,5 %;-16,9 %
Brunei;Asia;; - - -;-23,3 %;-19,2 %;-7,9 %;-0,9 %;9,6 %;25,6 %;21,9 %;3,6 %;-10,7 %;1,4 %;25,0 %;4,6 %;7,8 %;-5,0 %;-3,5 %;-11,3 %;-10,3 %;22,8 %;2,5 %;-85,6 %;-43,1 %;500,9 %;64,7 %;-1,9 %
Bulgaria;Eastern Europe;; - - -;5,1 %;15,5 %;0,1 %;5,6 %;13,2 %;9,4 %;12,0 %;17,1 %;-15,9 %;1,0 %;4,5 %;-1,5 %;13,1 %;6,9 %;5,2 %;6,1 %;5,0 %;1,4 %;6,3 %;-76,0 %;8,8 %;147,6 %;47,7 %;9,9 %
Burkina Faso;Africa;; - - -;26,7 %;-5,4 %;-5,2 %;5,0 %;32,2 %;13,3 %;0,5 %;-2,9 %;14,0 %;-5,9 %;21,7 %;11,1 %;29,0 %;42,4 %;27,8 %;2,3 %;-22,9 %;-9,4 %;3,5 %;-81,5 %;88,4 %;87,0 %;10,7 %;6,0 %
Burma (Myanmar);Asia;; - - -;-4,1 %;12,3 %;-43,3 %;14,0 %;-19,6 %;36,7 %;9,3 %;3,3 %;30,8 %;27,6 %;1,2 %;20,9 %;46,3 %;42,4 %;20,1 %;28,2 %;19,1 %;4,9 %;13,5 %;-82,2 %;-2,7 %;97,5 %;162,4 %;-0,7 %
Burundi;Africa;; - - -;54,2 %;-39,2 %;-37,4 %;62,4 %;72,1 %;42,3 %;-16,7 %;-16,5 %;-4,4 %;40,1 %;7,2 %;20,2 %;60,6 %;1,1 %;13,6 %;14,9 %;11,1 %;-18,3 %;-25,9 %;-82,1 %;34,8 %;231,9 %;19,8 %;18,9 %
Cameroon;Africa;; - - -;37,0 %;16,9 %;4,2 %;-16,3 %;9,0 %;4,2 %;7,7 %;-2,2 %;-2,9 %;8,8 %;3,8 %;-7,8 %;18,0 %;26,7 %;14,8 %;24,7 %;1,6 %;-14,9 %;-19,9 %;-82,4 %;-19,2 %;555,0 %;50,7 %;21,0 %
Canada;North America;; - - -;-7,8 %;-3,7 %;-2,8 %;9,4 %;7,3 %;7,6 %;11,1 %;6,5 %;-5,0 %;12,3 %;5,8 %;6,4 %;3,1 %;-1,7 %;-10,1 %;-6,8 %;6,3 %;4,8 %;-3,5 %;-76,8 %;-47,4 %;468,7 %;42,6 %;-1,3 %
Cape Verde;Africa;; - - -;26,9 %;-64,8 %;-30,6 %;-0,2 %;29,1 %;0,2 %;32,5 %;5,3 %;24,2 %;-7,1 %;-27,0 %;-6,8 %;135,9 %;22,4 %;-5,6 %;19,4 %;-6,0 %;-8,7 %;-0,4 %;-87,7 %;94,2 %;138,4 %;51,2 %;14,3 %
Cayman Islands;Caribbean;; - - -;-12,6 %;-24,2 %;6,0 %;32,4 %;-5,8 %;2,5 %;12,6 %;-4,6 %;0,0 %;-8,9 %;-7,7 %;0,9 %;-0,0 %;-8,0 %;-2,5 %;-14,5 %;-7,7 %;59,0 %;45,3 %;-82,6 %;-28,3 %;432,5 %;26,8 %;-22,0 %
Central African Republic;Africa;; - - -;43,4 %;-25,9 %;-72,2 %;4,3 %;595,9 %;14,4 %;-25,1 %;-21,2 %;-27,8 %;41,0 %;14,1 %;-17,6 %;45,9 %;6,2 %;-5,6 %;14,3 %;-17,7 %;40,6 %;84,5 %;-69,1 %;-11,1 %;545,4 %;79,4 %;18,6 %
Chad;Africa;; - - -;-4,6 %;0,0 %;0,4 %;-3,5 %;57,2 %;-4,0 %;36,7 %;-40,0 %;54,2 %;-37,5 %;1,1 %;2,2 %;67,2 %;83,6 %;-14,9 %;3,6 %;8,0 %;-16,9 %;7,8 %;-83,4 %;147,9 %;144,4 %;103,3 %;-26,6 %
Chile;South America;; - - -;-21,8 %;-23,3 %;-17,3 %;6,1 %;0,4 %;8,5 %;11,8 %;6,2 %;-3,2 %;15,9 %;18,4 %;7,9 %;20,2 %;12,5 %;22,9 %;10,0 %;-3,6 %;10,4 %;5,3 %;-65,6 %;57,1 %;98,7 %;0,6 %;-5,4 %
China;Asia;; - - -;-6,8 %;-2,9 %;-30,3 %;28,7 %;33,4 %;18,6 %;24,0 %;24,0 %;6,5 %;52,8 %;38,7 %;31,8 %;27,7 %;18,8 %;18,1 %;16,0 %;4,1 %;-5,7 %;-5,4 %;-86,6 %;-49,3 %;91,9 %;192,9 %;50,8 %
Christmas Island;Oceania;; - - -;-19,0 %;-17,6 %;7,1 %;-26,7 %;-45,5 %;-16,7 %;-40,0 %;-100,0 %;;40,0 %;71,4 %;-83,3 %;1250,0 %;33,3 %;5,6 %;10,5 %;-54,8 %;31,6 %;20,0 %;-73,3 %;62,5 %;84,6 %;91,7 %;21,7 %
Cocos Islands;Oceania;; - - -;33,3 %;175,0 %;-72,7 %;66,7 %;80,0 %;-22,2 %;185,7 %;-45,0 %;-45,5 %;-33,3 %;150,0 %;-30,0 %;257,1 %;68,0 %;-35,7 %;18,5 %;-21,9 %;28,0 %;37,5 %;-45,5 %;25,0 %;106,7 %;43,5 %;10,1 %
Colombia;South America;; - - -;-10,9 %;-13,5 %;-12,8 %;5,4 %;10,2 %;7,1 %;11,9 %;7,6 %;1,3 %;16,5 %;2,0 %;18,5 %;32,1 %;12,9 %;-3,3 %;-1,1 %;-1,3 %;12,0 %;0,1 %;-71,4 %;293,8 %;-11,3 %;-1,2 %;14,7 %
Comoros;Africa;; - - -;-4,3 %;-13,6 %;-47,4 %;-40,0 %;33,3 %;125,0 %;11,1 %;10,0 %;36,4 %;-36,7 %;15,8 %;9,1 %;254,2 %;57,6 %;-29,1 %;22,1 %;1,7 %;26,3 %;-19,5 %;-83,3 %;190,0 %;3,4 %;61,7 %;27,8 %
Congo;Africa;; - - -;41,7 %;-37,0 %;-22,4 %;10,1 %;18,5 %;-12,6 %;11,8 %;12,1 %;16,0 %;12,8 %;19,1 %;13,6 %;-35,5 %;-5,2 %;-4,1 %;-15,7 %;-14,7 %;16,1 %;-12,8 %;-86,0 %;59,5 %;266,8 %;76,9 %;2,6 %
Cook Islands;Oceania;; - - -;-36,9 %;-28,7 %;86,9 %;2,9 %;-24,3 %;-39,4 %;34,9 %;7,2 %;-27,0 %;-70,9 %;-31,8 %;-15,6 %;102,6 %;44,2 %;-45,0 %;-1,6 %;-1,7 %;23,7 %;8,2 %;-75,9 %;42,1 %;207,4 %;185,5 %;-10,5 %
Costa Rica;Central America;; - - -;-18,5 %;-12,9 %;-9,7 %;12,6 %;5,3 %;-2,3 %;22,8 %;3,0 %;-4,7 %;5,2 %;2,9 %;4,5 %;8,6 %;5,8 %;13,3 %;22,8 %;-2,6 %;14,0 %;5,8 %;-69,5 %;161,2 %;-4,3 %;21,9 %;13,0 %
Côte d'Ivoire;Africa;; - - -;-1,9 %;-51,0 %;-34,4 %;-0,7 %;-10,7 %;45,7 %;-8,8 %;32,9 %;12,0 %;-16,3 %;-28,1 %;35,5 %;120,2 %;23,5 %;12,7 %;9,7 %;-4,4 %;9,4 %;3,7 %;-81,5 %;-18,8 %;291,8 %;62,7 %;16,9 %
Croatia;Western Europe;; - - -;-10,4 %;-3,9 %;0,1 %;15,4 %;4,9 %;4,8 %;17,6 %;19,5 %;-10,8 %;-2,0 %;5,2 %;-7,5 %;15,3 %;9,6 %;11,6 %;7,6 %;8,9 %;3,8 %;6,8 %;-77,2 %;20,2 %;237,0 %;38,4 %;17,5 %
Cuba;Caribbean;; - - -;-35,4 %;-14,5 %;-31,0 %;22,8 %;-17,2 %;8,0 %;-15,5 %;30,1 %;45,9 %;15,9 %;-47,2 %;13,0 %;107,0 %;20,4 %;6,7 %;9,4 %;59,1 %;11,2 %;-8,6 %;-74,1 %;-47,2 %;59,9 %;-38,0 %;52,0 %
Curacao;Caribbean;; - - -;;;;;;;;;;;;0,0 %;44800,0 %;1179,3 %;-0,2 %;-8,0 %;42,6 %;94,8 %;48,5 %;-82,9 %;174,5 %;42,2 %;6,5 %;-5,6 %
Cyprus;Middle East;; - - -;-10,4 %;-13,9 %;1,1 %;-4,2 %;6,7 %;-5,0 %;10,1 %;13,5 %;-11,7 %;-0,4 %;-4,3 %;-8,7 %;-4,6 %;9,5 %;3,0 %;9,8 %;7,7 %;5,4 %;5,9 %;-84,5 %;22,1 %;234,2 %;40,9 %;12,5 %
Czech Republic;Eastern Europe;; - - -;-10,8 %;-32,8 %;26,6 %;-6,7 %;14,2 %;3,7 %;17,1 %;15,3 %;31,5 %;-1,8 %;21,2 %;-0,2 %;9,7 %;8,8 %;11,4 %;-2,7 %;14,4 %;4,4 %;6,4 %;-84,3 %;-24,4 %;479,5 %;26,4 %;11,7 %
Denmark;Western Europe;; - - -;-15,3 %;-6,0 %;5,7 %;20,3 %;15,7 %;6,2 %;17,4 %;17,9 %;-4,3 %;5,4 %;7,5 %;-1,5 %;2,0 %;12,0 %;13,1 %;-7,7 %;1,8 %;-0,5 %;-5,2 %;-84,6 %;-41,7 %;661,9 %;10,2 %;-0,1 %
Djibouti;Africa;; - - -;-41,4 %;-46,2 %;50,4 %;-28,8 %;-14,0 %;23,9 %;24,8 %;23,8 %;58,0 %;2,5 %;-2,8 %;-7,4 %;-26,6 %;78,8 %;4,0 %;122,6 %;-14,9 %;-65,8 %;-15,6 %;-77,5 %;-10,9 %;359,2 %;59,6 %;1,7 %
Dominica;Caribbean;; - - -;-12,1 %;21,4 %;-60,7 %;30,0 %;-34,7 %;5,7 %;-12,2 %;24,0 %;3,3 %;7,6 %;-15,7 %;4,9 %;6,8 %;-9,9 %;3,3 %;5,1 %;-4,8 %;3,6 %;5,6 %;-80,7 %;67,0 %;116,4 %;35,3 %;23,2 %
Dominican Republic;Caribbean;; - - -;-13,0 %;-10,5 %;-0,4 %;17,7 %;23,0 %;6,9 %;11,3 %;-14,1 %;0,8 %;5,3 %;-2,0 %;3,0 %;4,9 %;10,2 %;15,8 %;12,5 %;16,0 %;6,6 %;8,3 %;-63,4 %;127,1 %;6,4 %;16,8 %;10,4 %
East Timor;Asia;; - - -;;;-70,4 %;75,0 %;-28,6 %;-30,0 %;-100,0 %;;-100,0 %;;-33,3 %;50,0 %;333,3 %;269,2 %;12,5 %;-32,4 %;30,1 %;6,3 %;34,7 %;-79,4 %;-35,7 %;216,7 %;68,4 %;14,6 %
Ecuador;South America;; - - -;13,5 %;-5,7 %;-13,9 %;11,1 %;7,5 %;2,9 %;5,5 %;-2,1 %;10,7 %;16,1 %;9,1 %;-2,7 %;27,6 %;27,8 %;10,9 %;10,8 %;0,5 %;7,9 %;1,3 %;-62,9 %;140,6 %;-9,2 %;26,6 %;5,1 %
Egypt;Middle East;; - - -;-7,1 %;-41,3 %;-16,8 %;2,7 %;15,8 %;12,8 %;12,2 %;14,5 %;3,4 %;16,4 %;18,7 %;30,5 %;8,9 %;5,9 %;5,7 %;5,3 %;-11,4 %;4,6 %;6,7 %;-70,4 %;48,5 %;47,9 %;40,0 %;4,4 %
El Salvador;Central America;; - - -;12,6 %;-5,2 %;-10,1 %;2,2 %;-9,2 %;-6,5 %;3,9 %;-14,6 %;-9,8 %;-8,8 %;-11,4 %;-0,2 %;10,4 %;16,2 %;35,0 %;9,9 %;-1,5 %;14,0 %;8,6 %;-73,4 %;231,1 %;8,4 %;23,7 %;4,7 %
Equatorial Guinea;Africa;; - - -;-11,3 %;-37,6 %;-6,0 %;-44,9 %;67,4 %;65,3 %;87,4 %;35,9 %;31,0 %;-7,3 %;41,6 %;10,7 %;97,9 %;40,1 %;-15,8 %;3,0 %;-5,0 %;8,2 %;4,8 %;-77,5 %;50,9 %;135,1 %;12,6 %;-20,2 %
Eritrea;Africa;; - - -;47,2 %;71,1 %;0,9 %;0,5 %;-11,9 %;-13,8 %;-59,4 %;-23,4 %;1,2 %;6,0 %;11,8 %;23,8 %;192,3 %;89,8 %;15,2 %;42,2 %;-32,1 %;-60,8 %;-9,2 %;-70,5 %;18,6 %;144,3 %;44,3 %;88,0 %
Estonia;Eastern Europe;; - - -;-12,6 %;-4,5 %;-1,1 %;6,3 %;11,9 %;13,9 %;35,9 %;14,0 %;34,2 %;-31,4 %;14,1 %;15,9 %;20,5 %;3,6 %;16,6 %;8,5 %;-2,1 %;0,2 %;9,7 %;-78,5 %;-36,3 %;379,8 %;24,3 %;12,3 %
Ethiopia;Africa;; - - -;4,0 %;-11,8 %;17,5 %;-10,9 %;-5,4 %;36,9 %;20,8 %;12,0 %;-1,0 %;0,0 %;22,5 %;8,5 %;20,8 %;4,8 %;7,2 %;35,7 %;-1,4 %;7,1 %;-2,0 %;-73,2 %;156,0 %;9,9 %;59,0 %;20,1 %
